,spring,summer,autumn,winter
LED1_kW,"{'mean': 0.3238888888888889, 'std': 0.3037745202510133, 'min': 0.0, 'max': 0.86, 'median': 0.5549999999999999}","{'mean': 0.27647222222222223, 'std': 0.3007168628651519, 'min': 0.0, 'max': 0.69, 'median': 0.0}","{'mean': 0.4661458333333333, 'std': 0.2632182160848445, 'min': 0.0, 'max': 0.87, 'median': 0.6}","{'mean': 0.298455114822547, 'std': 0.3599545103909246, 'min': 0.0, 'max': 1.34, 'median': 0.0}"
LED2_kW,"{'mean': 0.24344444444444444, 'std': 0.2282088998799187, 'min': 0.0, 'max': 0.65, 'median': 0.41}","{'mean': 0.20855555555555555, 'std': 0.22635799064185638, 'min': 0.0, 'max': 0.52, 'median': 0.0}","{'mean': 0.16489583333333332, 'std': 0.21902554012830777, 'min': 0.0, 'max': 0.57, 'median': 0.0}","{'mean': 0.20846207376478776, 'std': 0.2823536932044099, 'min': 0.0, 'max': 1.01, 'median': 0.0}"
LED3_kW,"{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0, 'median': 0.0}","{'mean': 0.20863888888888887, 'std': 0.22666101009442993, 'min': 0.0, 'max': 0.52, 'median': 0.0}","{'mean': 0.018923611111111113, 'std': 0.08685580927817847, 'min': 0.0, 'max': 0.53, 'median': 0.0}","{'mean': 0.1748921363952679, 'std': 0.22248800205694366, 'min': 0.0, 'max': 0.58, 'median': 0.0}"
FFU_kW,"{'mean': 0.24041666666666667, 'std': 0.07279656461206786, 'min': 0.0, 'max': 0.28, 'median': 0.26}","{'mean': 0.24041666666666667, 'std': 0.07279656461206786, 'min': 0.0, 'max': 0.28, 'median': 0.26}","{'mean': 0.2404166666666667, 'std': 0.07280288897371588, 'min': 0.0, 'max': 0.28, 'median': 0.26}","{'mean': 0.2885594989561587, 'std': 0.13329945700844395, 'min': 0.0, 'max': 0.56, 'median': 0.26}"
FAU_kW,"{'mean': 0.007916666666666667, 'std': 0.012580525890783447, 'min': 0.0, 'max': 0.03, 'median': 0.0}","{'mean': 0.007083333333333334, 'std': 0.01136145661070299, 'min': 0.0, 'max': 0.03, 'median': 0.0}","{'mean': 0.03125, 'std': 0.010537261673674813, 'min': 0.0, 'max': 0.04, 'median': 0.03}","{'mean': 0.037515657620041755, 'std': 0.01829103349947166, 'min': 0.0, 'max': 0.08, 'median': 0.03}"
HVAC_kW,"{'mean': 0.25977777777777783, 'std': 0.22320043826577796, 'min': 0.0, 'max': 1.02, 'median': 0.18}","{'mean': 0.6560833333333334, 'std': 0.4397591655633932, 'min': 0.0, 'max': 1.67, 'median': 0.645}","{'mean': 0.38243055555555555, 'std': 0.3045356443559121, 'min': 0.0, 'max': 1.2, 'median': 0.25}","{'mean': 0.3950730688935282, 'std': 0.47661228887338775, 'min': 0.0, 'max': 1.8, 'median': 0.08}"
Heating_Load_kW,"{'mean': 0.030679527336447635, 'std': 0.05184964894099092, 'min': 0.0, 'max': 0.246027272411342, 'median': 0.0}","{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0, 'median': 0.0}","{'mean': 0.017248094529332875, 'std': 0.03264254238084933, 'min': 0.0, 'max': 0.1434241087082269, 'median': 0.0}","{'mean': 0.41259750021854047, 'std': 0.21344187889144903, 'min': 0.0251672469071454, 'max': 0.8944363332126044, 'median': 0.390396979563039}"
Cooling_Load_kW,"{'mean': 0.13428794142748696, 'std': 0.15242283483437996, 'min': 0.0, 'max': 0.725804773155964, 'median': 0.08119668292163755}","{'mean': 0.9642576399315882, 'std': 0.265644506243596, 'min': 0.5842470954303242, 'max': 1.6257498152094436, 'median': 0.9001428017661915}","{'mean': 0.1632364148125695, 'std': 0.15456054404825695, 'min': 0.0, 'max': 0.5504429162428094, 'median': 0.13317870727278341}","{'mean': 4.7443005908757966e-05, 'std': 0.0006984731478469009, 'min': 0.0, 'max': 0.0124401633968021, 'median': 0.0}"
net_heating_load,"{'mean': 0.0019093970222380417, 'std': 0.011845273078224921, 'min': 0.0, 'max': 0.1250323993884486, 'median': 0.0}","{'mean': 0.0, 'std': 0.0, 'min': 0.0, 'max': 0.0, 'median': 0.0}","{'mean': 0.0005336434631240381, 'std': 0.005377193736053237, 'min': 0.0, 'max': 0.0699519037886114, 'median': 0.0}","{'mean': 0.15978748568224038, 'std': 0.20734258030836922, 'min': 0.0, 'max': 0.7581551646421647, 'median': 0.0134182317174616}"
net_cooling_load,"{'mean': 0.6425761444466107, 'std': 0.45952959929151427, 'min': 0.0, 'max': 1.596804773155964, 'median': 0.7013883206882767}","{'mean': 1.5834326399315883, 'std': 0.6936068921710735, 'min': 0.6326517298326808, 'max': 2.841073926824188, 'median': 1.2450330016105526}","{'mean': 0.7372910609685829, 'std': 0.3354654937092989, 'min': 0.0, 'max': 1.5083459975435831, 'median': 0.7002797041607055}","{'mean': 0.39241001023718, 'std': 0.5159219233076872, 'min': 0.0, 'max': 1.9120383814168975, 'median': 0.0}"
total_thermal_load,"{'mean': 0.6444855414688487, 'std': 0.457003596731733, 'min': 0.000261078885445, 'max': 1.596804773155964, 'median': 0.7013883206882767}","{'mean': 1.5834326399315883, 'std': 0.6936068921710735, 'min': 0.6326517298326808, 'max': 2.841073926824188, 'median': 1.2450330016105526}","{'mean': 0.737824704431707, 'std': 0.3343328085972804, 'min': 0.0406783542948685, 'max': 1.5083459975435831, 'median': 0.7002797041607055}","{'mean': 0.5521974959194204, 'std': 0.42857278237425317, 'min': 0.0004807255642694, 'max': 1.9120383814168975, 'median': 0.4350387558203262}"
excess_load,"{'mean': 0.019179208880090885, 'std': 0.09079003485363751, 'min': 0.0, 'max': 1.0282205179232664, 'median': 0.0}","{'mean': 0.010421112530405773, 'std': 0.06470996429634121, 'min': 0.0, 'max': 0.5548787043101806, 'median': 0.0}","{'mean': 0.01879904512269314, 'std': 0.08381679092700328, 'min': 0.0, 'max': 0.5952190198934337, 'median': 0.0}","{'mean': 0.07163076579035835, 'std': 0.1694776271140931, 'min': 0.0, 'max': 0.9743083585379088, 'median': 0.0}"
Outdoor_Temp_C,"{'mean': 16.48111111111111, 'std': 2.944070520820643, 'min': 7.8, 'max': 24.4, 'median': 16.4}","{'mean': 28.742777777777782, 'std': 3.300178453372824, 'min': 22.4, 'max': 35.8, 'median': 28.65}","{'mean': 20.927777777777777, 'std': 2.9607204243268495, 'min': 12.6, 'max': 28.5, 'median': 21.0}","{'mean': 5.470633263743911, 'std': 3.774053841446974, 'min': -2.3, 'max': 18.3, 'median': 5.2}"
Outdoor_RH,"{'mean': 81.06111111111112, 'std': 14.028131723578902, 'min': 35, 'max': 100, 'median': 85.5}","{'mean': 82.93055555555556, 'std': 11.323687115629449, 'min': 52, 'max': 97, 'median': 85.0}","{'mean': 80.70138888888889, 'std': 11.288233718549717, 'min': 47, 'max': 98, 'median': 83.0}","{'mean': 78.19067501739735, 'std': 14.523435941115231, 'min': 45, 'max': 99, 'median': 82.0}"
Outdoor_Flow_Rate,"{'mean': 13.23611111111111, 'std': 5.8512557659933435, 'min': 1.5, 'max': 33.7, 'median': 12.6}","{'mean': 12.526388888888889, 'std': 5.334732667652404, 'min': 1.5, 'max': 28.2, 'median': 12.350000000000001}","{'mean': 12.429166666666667, 'std': 5.622591578231859, 'min': 1.3, 'max': 32.8, 'median': 11.7}","{'mean': 11.115240083507308, 'std': 5.243318884666758, 'min': 0.4, 'max': 26.7, 'median': 9.7}"
actual_cop,"{'mean': 2.5189965180500034, 'std': 2.799940792446564, 'min': 0.0, 'max': 32.00551294808166, 'median': 1.600044282658053}","{'mean': 2.580677457013705, 'std': 2.062523277033863, 'min': 0.0, 'max': 16.354150526559547, 'median': 2.2138855529472323}","{'mean': 2.5978868344295543, 'std': 2.8380837123252247, 'min': 0.0, 'max': 18.75102039621096, 'median': 1.7510292167449486}","{'mean': 3.3554682343071343, 'std': 4.24185699801436, 'min': 0.0, 'max': 20.21869083625584, 'median': 0.998492353629018}"
